,id,year,prod,ce,fiscal,emp,fert,mach,pest,area,eco,water
64,2,2015,182.51,0.174235462,156.08,159.1806647,21.8,546.92,3528,469.02,71,12.5
65,3,2015,2820.11,0.116095177,712.49,2138.583354,335.5,11102.81,83328,8739.84,763,135.3
66,4,2015,846.87,0.041554128,394.46,975.2034772,118.5,3351.65,31035,3767.71,458,45.1
67,5,2015,1474.54,0.074039462,675.58,589.9744337,229.4,3805.11,32961,7567.9,528,140.1
68,6,2015,1796.54,0.149782548,446.07,846.7937961,152.1,2813.86,59875,4219.86,319,88.8
69,7,2015,1114.7,0.083075954,408.61,727.8521098,231.2,3152.54,62285,5679.1,617,90.2
70,8,2015,3156.93,0.035798442,681.48,929.047002,255.3,5442.29,82949,12294.03,254,312.5
71,9,2015,167.86,0.16084117,267.37,176.9331552,9.9,119.01,4415,340.21,21,14.3
72,10,2015,3675.87,0.116643028,1008.6,1579.971653,320,4825.49,78100,7745.04,433,279.1
73,11,2015,1378.65,0.108630896,739.08,1120.773899,87.5,2360.73,56458,2290.55,351,84.7
74,12,2015,2080.09,0.100942203,577.74,1799.510785,338.7,6580.99,111048,8950.46,283,157.5
75,13,2015,1358.58,0.234671361,441.86,849.7525445,123.8,1384.13,55770,2331.32,286,93.3
76,14,2015,1361.85,0.189537175,557.3,1307.175049,143.6,2260.82,93873,5579.09,418,154.1
77,15,2015,4662.61,0.187238604,964.42,2504.876407,463.5,13353.02,151004,11026.54,602,143.3
78,16,2015,4503.71,0.176205567,791.63,2981.826652,716.1,11710.08,128748,14424.96,961,125.9
79,17,2015,2674.07,0.138525482,616.57,1494.167949,333.9,4468.12,120685,7952.36,494,158.1
80,18,2015,2325.93,0.206470458,676.24,1971.118193,246.5,5894.06,122353,8716.99,559,195.2
81,19,2015,2490.2,0.308586927,811.9,2008.990173,256.5,2696.79,113782,4784.72,472,227
82,20,2015,2146.37,0.195970487,497.53,1502.452445,259.9,3803.18,74916,6134.71,251,201.7
83,21,2015,598.7,0.21801554,164.24,242.0256203,51.1,511.59,39800,845.28,52,34.4
84,22,2015,963.03,0.131662119,331.33,697.0811263,97.7,1299.73,18199,3575.8,250,25.8
85,23,2015,3315.51,0.211579159,926.65,2539.789639,249.8,4404.55,58912,9689.93,1244,156.7
86,24,2015,1773.72,0.10719776,534.26,1211.311601,103.7,2575.15,13722,5542.17,472,54.3
87,25,2015,1794.65,0.133365188,641.52,1590.031398,231.9,3333.04,58648,7185.63,991,104.6
88,26,2015,68.05,1.095708667,200.27,138.4694258,6,619.69,1074,252.79,NA,27.2
89,27,2015,1885.46,0.053251699,520.58,1034.378446,231.9,2667.27,13092,4284.48,926,57.9
90,28,2015,951.15,0.077004406,497.05,874.0142815,97.9,2684.95,78848,4229.33,706,96.2
91,29,2015,145,0.632123268,204.41,172.7909074,10.1,453.87,1956,558.39,177,20.9
92,30,2015,300.04,0.073692337,166.27,176.9331552,40.1,831.26,2593,1264.64,22,62
93,31,2015,2037.59,0.080697786,605.34,736.7283551,248.1,2489.32,25838,5757.25,273,546.4
94,1,2014,155.1,0.340177442,343.67,176.5875128,11.6,195.8,3603,196.1,202,8.18
95,2,2014,182.23,0.17378598,134.91,161.5715679,23.3,552.3,3642,479,83,11.66
96,3,2014,2893.29,0.116244567,583.52,2246.986005,335.6,10942.9,86329,8713.1,742,139.17
97,4,2014,872.56,0.039480438,327.85,1012.675329,119.6,3286.2,31029,3783.4,490,41.54
98,5,2014,1457.94,0.075105924,517.69,609.046728,222.7,3632.6,30875,7356,584,137.54
99,6,2014,1529.85,0.149926917,443.85,869.1228949,151.6,2730.2,60294,4164.1,324,89.65
100,7,2014,1118.55,0.082623305,308.68,747.1934217,226.7,2919.1,59517,5615.3,612,89.76
101,8,2014,3193.58,0.036804335,487.67,966.4262183,251.9,5155.5,87381,12225.9,113,316.14
102,9,2014,175.46,0.190637115,202.34,151.3607253,10.2,117.8,4666,357,21,14.57
103,10,2014,3325.67,0.123929067,899.31,1663.166065,323.6,4650,79531,7678.6,628,297.77
104,11,2014,1337.71,0.118086169,524.59,1162.234141,89.6,2420.1,58748,2274,349,88.21
105,12,2014,2027.09,0.099069255,502.69,1857.772712,341.4,6365.8,113974,8945.5,285,142.83
106,13,2014,1307.63,0.217527992,320.32,873.3273595,122.6,1368.4,56391,2305.2,286,95.65
107,14,2014,1170.83,0.184313498,500.15,1358.042063,142.9,2118.4,94764,5570.5,431,168.61
108,15,2014,4556.1,0.187927907,772.84,2645.208866,468.1,13101.4,156350,11037.9,619,146.72
109,16,2014,4399.17,0.173957535,661.94,3106.498695,705.8,11476.8,129866,14378.3,1000,117.61
110,17,2014,2651.16,0.132975012,483.8,1548.444245,348.3,4292.9,126099,8112.3,494,156.89
111,18,2014,2324.78,0.204420581,557.59,2052.379359,247.8,5672.1,124277,8764.5,509,200.19
112,19,2014,2357.16,0.321206489,557.59,2061.388925,249.6,2632.4,112664,4744.9,433,224.33
113,20,2014,1993.98,0.194421119,391.29,1541.83723,258.7,3567.5,71999,5929.9,360,209.21
114,21,2014,555.72,0.216402401,146.3,251.0665999,49.5,517.3,39900,859.6,52,33.4
115,22,2014,906.43,0.127218072,291.62,726.1710988,97.3,1243.3,18437,3540.4,246,23.74
116,23,2014,3068.61,0.208235968,826.59,2625.387819,250.2,4160.1,59385,9668.6,786,145.38
117,24,2014,1322.7,0.105736817,447.19,1263.741929,101.3,2458.4,13425,5516.5,393,50.39
118,25,2014,1765.43,0.13394264,594.45,1649.952033,226.9,3215,57225,7194.4,1000,103.3
119,26,2014,63.26,1.064972736,169.24,141.7505205,5.8,570.8,1012,251,NA,27.65
120,27,2014,1848.79,0.052970538,445.97,1075.742298,230.2,2552.1,12793,4262.1,555,57.86
121,28,2014,897.79,0.075673821,366.17,907.563714,97.6,2545.7,77832,4197.5,678,97.78
122,29,2014,144.21,0.597815799,190.04,175.986875,9.7,440.9,1886,553.7,192,21.01
123,30,2014,265.37,0.071642897,157.05,184.3958042,39.7,813,2586,1253.2,63,61.26
124,31,2014,1982.99,0.078679821,477.27,744.7908705,237,2341.8,30439,5517.6,267,550.99
125,1,2013,170.41,0.350664095,297.62,180.9533521,12.8,207.7,3864,242.5,150,9.09
126,2,2013,176.63,0.163055833,123.03,165.3539252,24.3,554.2,3639,473.5,83,12.44
127,3,2013,2975.01,0.110202085,511.11,2373.608798,331,10762.7,86720,8749.2,726,137.64
128,4,2013,839.06,0.036379766,339.69,1074.488525,121,3183.3,30534,3782.4,510,43.11
129,5,2013,1368.88,0.074935054,466.58,643.3203655,202.4,3430.6,31332,7211.2,497,132.46
130,6,2013,1499.99,0.146700768,466.52,919.1182332,151.8,2632,60035,4208.8,312,90.81
131,7,2013,1075.44,0.079131124,318.26,786.211116,216.8,2730,51011,5413.1,622,88.77
132,8,2013,2954.75,0.03586834,461.7,1019.578542,245,4849.3,84016,12200.8,113,308.31
133,9,2013,177.93,0.207806429,187.25,156.6182461,10.8,113.2,5019,377.3,21,16.26
134,10,2013,3137.14,0.118242747,868.34,1777.71069,326.8,4405.6,81157,7683.6,736,301.94
135,11,2013,1295.98,0.11671865,513.03,1234.850634,92.4,2462.2,62198,2311.9,349,91.95
136,12,2013,1916.19,0.094167369,478.17,1961.783928,338.4,6140.3,117774,8945.6,280,162.09
137,13,2013,1196.59,0.193286109,312.22,924.1100498,120.6,1336.8,57804,2292.2,327,95.73
138,14,2013,1094.72,0.175806388,438.54,1442.635,141.6,2014.1,99922,5552.6,487,175.68
139,15,2013,4335.77,0.176319664,748.14,2809.144797,472.7,12739.8,158384,10976.4,620,149.72
140,16,2013,4126.25,0.172758,629.85,3300.838733,696.4,11150,130058,14323.5,999,141.65
141,17,2013,2585.15,0.124301663,465.34,1646.051527,351.9,4081.1,127152,8106.2,496,159.61
142,18,2013,2257.55,0.197266136,516.55,2172.688179,248.2,5434,124298,8650,532,195.25
143,19,2013,2229.64,0.319550103,595.28,2141.489325,243.9,2564.9,110090,4698.1,480,223.68
144,20,2013,1868.3,0.187029066,371.9,1624.836306,255.7,3383,69037,6137.2,247,209.4
145,21,2013,476.05,0.209076987,139.03,263.9423032,47.6,502.1,43478,848.2,47,32.31
146,22,2013,855.5,0.122593009,281.94,771.8596432,96.6,1198.9,18354,3515.9,292,24.56
147,23,2013,2886.48,0.207155547,741.78,2787.305599,251.1,3953.1,59954,9682.2,764,139.41
148,24,2013,997.76,0.105027446,400.31,1358.398095,97.4,2240.8,13480,5390.1,479,48.24
149,25,2013,1606.89,0.130833259,538.97,1740.272065,219,3070.3,54782,7148.2,974,102.67
150,26,2013,57.92,1.094147161,148.79,148.5065441,5.7,517.3,1031,248.6,NA,27.57
151,27,2013,1697.14,0.05184193,419.62,1143.749981,241.7,2452.7,12998,4269,281,58.06
152,28,2013,853.79,0.075981067,346.58,964.6685598,94.7,2418.5,77760,4155.9,750,99.23
153,29,2013,140.54,0.620898662,159.69,185.9451687,9.8,410.6,1997,555.8,192,22.77
154,30,2013,261.83,0.069308815,149.38,195.9288019,40.4,802,2699,1264.7,63,63.44
155,31,2013,1828.63,0.069128791,387.42,784.3391848,203.2,2165.9,21285,5212.3,308,557.69
156,1,2012,166.29,0.364903414,222.69,56.32,56.32,241.1,3879,282.7,204,9.31
157,2,2012,164.19,0.159727958,100.98,72.32,72.32,568.1,3808,479,82,11.7
158,3,2012,2710.55,0.108891265,443.62,1419.85,1419.85,10553.8,84831,8781.8,601,142.94
159,4,2012,774.35,0.036751461,309.63,640.68,640.68,3056.1,29810,3808.1,553,42.74
160,5,2012,1202.78,0.078064651,450.83,552.85,552.85,3280.6,29924,7154,532,135.36
161,6,2012,1401.51,0.144762917,405.02,660.02,660.02,2526.9,59053,4210.6,286,91.49
162,7,2012,1017.33,0.081627526,291.3,503.73,503.73,2554.7,51239,5315.1,604,84.74
163,8,2012,2339.82,0.362122818,430.39,667.32,667.32,4552.9,80511,12237,110,294.9
164,9,2012,176.8,0.201767752,217.97,44.87,44.87,112.7,5817,387.9,24,17.45
165,10,2012,2942.11,0.114704156,754.09,796.03,796.03,4214.6,83675,7651.6,803,305.35
166,11,2012,1197.12,0.121204295,408.2,603.14,603.14,2489.4,62874,2324.2,365,91.29
167,12,2012,1786.46,0.093128652,430.47,1465.87,1465.87,5902.8,116741,8969.6,336,157.89
168,13,2012,1119.42,0.188676514,244.16,614.93,614.93,1286.8,57846,2263.1,325,92.78
169,14,2012,1020.74,0.172320386,384.77,831.59,831.59,4599.7,100413,5524.9,484,155.66
170,15,2012,3829.19,0.170612973,673.82,1953.06,1953.06,12419.9,161955,10867,641,154.23
171,16,2012,3897.46,0.175769088,551.73,2611.18,2611.18,10872.7,128289,14262.2,986,135.45
172,17,2012,2416.35,0.124738098,419.02,885.63,885.63,3842.2,139524,8078.9,471,146.44
173,18,2012,2255.43,0.200280012,447.74,1857.39,1857.39,5189.2,122980,8511.9,547,187.95
174,19,2012,2060.91,0.326701672,539.56,1376.77,1376.77,2496.7,113878,4629.6,99,227.58
175,20,2012,1724,0.186828022,369.07,1564.2,1564.2,3195.9,67784,6082.6,282,211.87
176,21,2012,453.09,0.203246778,123.62,213.52,213.52,479.7,39637,854.6,49,34.69
177,22,2012,801.18,0.121713675,256.35,586.86,586.86,1162,19480,3477.7,296,25.18
178,23,2012,2764.9,0.207950849,654.95,2068,2068,3694,60317,9657,722,145.79
179,24,2012,865.41,0.116140104,361.87,1132.71,1132.71,2106.7,14450,5182.9,116,47.74
180,25,2012,1374.39,0.130545654,518.6,1619.18,1619.18,2874.5,55326,6920.4,954,103.75
181,26,2012,53.39,1.087016792,142.62,92.07,92.07,465,923,244,NA,27.08
182,27,2012,1512.8,0.055725484,376.45,789.44,789.44,2350.2,12952,4238.3,162,58.19
183,28,2012,772.98,0.075997046,302.37,697.64,697.64,2279.1,73748,4099.8,758,95.1
184,29,2012,117.09,0.631106215,134.31,114.94,114.94,435,1805,554.2,192,22.48
185,30,2012,234.79,0.069425693,139.8,120.47,120.47,787.3,2740,1241.2,63,61.41
186,31,2012,1692.89,0.068997544,365.39,419.68,419.68,1968.9,19848,5123.9,306,561.75
187,1,2011,163.37,0.423123091,187.34,58.05,13.8,265.2,3936,302.6,NA,10.2
188,2,2011,155.2,0.162985158,91.78,73.18,24.4,583.9,3796,468,NA,11.55
189,3,2011,2484.67,0.128904092,366.1,1433.17,326.3,10349.2,83006,8773.7,NA,140.49
190,4,2011,711.61,0.040510939,241.45,643.43,114.6,2927.3,28382,3797.4,NA,43.4
191,5,2011,1080.9,0.085101059,391.68,542.33,176.9,3172.7,24474,7109.9,NA,135.94
192,6,2011,1208.66,0.154172133,329.2,663.63,144.6,2399.9,56565,4145.7,NA,89.74
193,7,2011,910.43,0.092583629,255.57,510.17,195.2,2355,45595,5222.3,NA,81.64
194,8,2011,1778.45,0.396264479,355.98,677.71,228.4,4097.8,77958,12222.9,NA,272.26
195,9,2011,169.82,0.224683268,161.54,33.38,12,105.7,6295,400.6,NA,16.47
196,10,2011,2622.67,0.118430479,618.13,821.69,337.2,4106.1,86500,7663.2,NA,307.6
197,11,2011,1126.81,0.132549236,373.32,616.76,92.1,2461.2,63854,2462.7,NA,92.07
198,12,2011,1640.3,0.100095382,351.87,1493.01,329.7,5657.1,117475,9022.9,NA,168.38
199,13,2011,1025.03,0.205892754,207.89,620.37,120.9,1250.8,58276,2285.8,NA,98.62
200,14,2011,931.17,0.183184002,287.99,849.51,140.8,4200,99537,5486.8,NA,171.74
